Comment,Designator,Footprint,LCSC,Quantity
LTV-817S,"U1,U10,U11,U12,U13,U15,U16,U17,U6,U7,U8,U9",SMDIP-4_W9.53mm,C109225,12
R0805_1.5k_1%_125mW_100PPM_AC,"R11,R12,R13,R14,R17,R18,R19,R20,R23,R24,R25,R26,R33,R34,R35,R36,R5,R6,R7,R8",R_0805_2012Metric,C22843,20
R0603_4.7k_1%_100mW_100PPM_AC,"R10,R15,R16,R21,R22,R27,R28,R29,R3,R30,R31,R32,R37,R38,R39,R4,R40,R9",R_0603_1608Metric,C23162,18
INA237,"U14,U3",VSSOP-10_3x3mm_P0.5mm,C2864837,2
MCP23017_SO,"U2,U4",SOIC-28W_7.5x17.9mm_P1.27mm,C47023,2
ULN2803A,U5,SOIC-18W_7.5x11.6mm_P1.27mm,C9683,1
100nF,C6,C_0805_2012Metric,,1
100nF,C3,C_0805_2012Metric,,1
100nF,C8,C_0603_1608Metric,,1
100nF,C7,C_0603_1608Metric,,1
100nF,C9,C_0603_1608Metric,,1
100nF,C10,C_0603_1608Metric,,1
SM4007,D8,D_MELF,,1
SM4007,D9,D_MELF,,1
SM4007,D2,D_MELF,,1
SM4007,D6,D_MELF,,1
SM4007,D4,D_MELF,,1
SM4007,D1,D_MELF,,1
SM4007,D5,D_MELF,,1
50mR,R2,R_1206_3216Metric,,1
50mR,R1,R_1206_3216Metric,,1
SM4007,D3,D_MELF,,1
