Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,100nF,C_0603_1608Metric,168.8,-116.0,0.0,top
C3,100nF,C_0805_2012Metric,167.8,-96.7,90.0,top
C6,100nF,C_0805_2012Metric,161.4,-83.8,90.0,top
C7,100nF,C_0603_1608Metric,151.5,-117.0,0.0,top
C8,100nF,C_0603_1608Metric,136.825,-116.1,0.0,top
C9,100nF,C_0603_1608Metric,190.9,-117.1,0.0,top
D1,SM4007,D_MELF,122.2,-131.5,180.0,bottom
D2,SM4007,D_MELF,138.45,-137.65,180.0,bottom
D3,SM4007,D_MELF,154.95,-137.7,180.0,bottom
D4,SM4007,D_MELF,171.65,-137.65,180.0,bottom
D5,SM4007,D_MELF,114.2,-132.35,0.0,bottom
D6,SM4007,D_MELF,188.4,-131.5,180.0,bottom
D8,SM4007,D_MELF,112.5,-103.0,0.0,bottom
D9,SM4007,D_MELF,128.9,-103.2,0.0,bottom
R1,50mR,R_1206_3216Metric,132.2,-122.4,180.0,bottom
R10,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,104.2,-117.3625,0.0,top
R11,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,99.0,-134.0375,90.0,bottom
R12,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,96.65,-134.0,90.0,bottom
R13,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,103.75,-134.0875,90.0,bottom
R14,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,101.35,-134.0875,90.0,bottom
R15,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,212.1,-116.25,180.0,top
R16,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,206.0,-116.25,180.0,top
R17,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,211.6,-132.5,90.0,top
R18,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,213.9,-132.5,90.0,top
R19,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,206.3,-132.5,90.0,top
R2,50mR,R_1206_3216Metric,165.0,-122.3,180.0,bottom
R20,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,208.8,-132.5,90.0,top
R21,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,215.15,-116.25,0.0,top
R22,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,209.05,-116.25,0.0,top
R23,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,213.9,-132.5,90.0,bottom
R24,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,211.6,-132.5,90.0,bottom
R25,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,208.75,-132.5,90.0,bottom
R26,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,206.25,-132.5,90.0,bottom
R27,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,152.425,-103.6,0.0,top
R28,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,193.575,-103.5,180.0,top
R29,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,212.85,-95.5,90.0,top
R3,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,95.175,-117.3625,180.0,top
R30,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,207.05,-95.425,90.0,top
R31,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,146.1,-99.4,0.0,top
R32,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,142.5,-99.4,180.0,top
R33,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,141.1,-82.8,-90.0,top
R34,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,138.0,-82.7875,-90.0,top
R35,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,146.8,-82.8,-90.0,top
R36,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,144.3,-82.8125,-90.0,top
R37,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,170.1,-92.3,180.0,top
R38,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,170.1,-90.8,180.0,top
R39,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,170.1,-93.8,180.0,top
R4,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,101.175,-117.3625,180.0,top
R40,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,173.175,-90.8,0.0,top
R5,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,96.65,-134.0,90.0,top
R6,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,99.0,-134.0375,90.0,top
R7,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,101.35,-134.0875,90.0,top
R8,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,103.75,-134.0875,90.0,top
R9,R0603_4.7k_1%_100mW_100PPM_AC,R_0603_1608Metric,98.175,-117.3625,0.0,top
U1,LTV-817S,SMDIP-4_W9.53mm,205.85,-87.6,90.0,top
U10,LTV-817S,SMDIP-4_W9.53mm,213.5,-124.1,90.0,top
U11,LTV-817S,SMDIP-4_W9.53mm,207.67,-124.135,90.0,top
U12,LTV-817S,SMDIP-4_W9.53mm,213.5,-124.1,90.0,bottom
U13,LTV-817S,SMDIP-4_W9.53mm,207.7,-124.1,90.0,bottom
U14,INA237,VSSOP-10_3x3mm_P0.5mm,133.4,-113.9,270.0,bottom
U15,LTV-817S,SMDIP-4_W9.53mm,211.55,-87.6,90.0,top
U16,LTV-817S,SMDIP-4_W9.53mm,139.8,-90.7,-90.0,top
U17,LTV-817S,SMDIP-4_W9.53mm,145.5,-90.7,-90.0,top
U2,MCP23017_SO,SOIC-28W_7.5x17.9mm_P1.27mm,188.045,-110.3,90.0,top
U3,INA237,VSSOP-10_3x3mm_P0.5mm,165.4,-113.7,270.0,bottom
U4,MCP23017_SO,SOIC-28W_7.5x17.9mm_P1.27mm,148.8,-110.3,90.0,top
U5,ULN2803A,SOIC-18W_7.5x11.6mm_P1.27mm,113.44,-111.8,-90.0,top
U6,LTV-817S,SMDIP-4_W9.53mm,96.73,-125.735,90.0,top
U7,LTV-817S,SMDIP-4_W9.53mm,102.5,-125.8,90.0,top
U8,LTV-817S,SMDIP-4_W9.53mm,96.73,-125.735,90.0,bottom
U9,LTV-817S,SMDIP-4_W9.53mm,102.5,-125.8,90.0,bottom
